Date,Session,StartDate,StartTime,EndDate,EndTime,Invited,Presenter,Presenter's Affiliation,In-Person/Remote,Coauthors,Coauthors affiliation,Paper Title,Abstract
07/15/22,Condensed Matter Physics and Material Science,07/15/22,7:45 PM,07/15/22,8:00 PM,,Dipendra Dahal,University of Houston,Remote,,,plasmonic behavior of silicene and graphene based heterostructure,"The Coulomb excitations of charge density oscillation are calculated for a double layer heterostructure. Specifically, we consider two-dimensional (2D) layers of silicene and graphene on a substrate.
From the obtained surface response function, we calculated the plasmon dispersion relations which
demonstrate the way in which the Coulomb coupling renormalizes the plasmon frequencies. Additionally, we present a novel result for the damping rates of the plasmons in this Coulomb coupled
heterostructure and compare these results as the separation between layers is varied."
07/15/22,Condensed Matter Physics and Material Science,07/15/22,8:00 PM,07/15/22,8:15 PM,,Niraj Aryal,Brookhaven National Laboratory,Remote,Weiguo Yin,,Origin of the metal-insulator transition in the parent compounds of Ru-pnictide superconductors,"We study the interplay of the structural phase transition and metal-insulator transition in the
parent compunds of the Ru-pnictide superconductor family. We find that while RuP and RuAs undergo metal-insulator transition accompanied by orthorhombic to monoclinic distortion, RuSb stays orthorhombic and metallic. By using first principles and effective Hamiltonian calculations, we study the electronic and phononic dispersion of these systems and explain the origin of the instability and its implications to the superconductivity."
07/15/22,Condensed Matter Physics and Material Science,07/15/22,8:15 PM,07/15/22,8:30 PM,,Yangyang Liu,University of Central Florida,Remote,Gyanendra Dhakal; Anup Pradhan Sakhya; John E. Beetar; Firoza Kabir; Sabin Regmi; Dariusz Kaczorowski; Michael Chini; Benjamin M. Fregoso; Madhab Neupane;,"University of Central Florida; Institute of Low Temperature and Structure Research, Polish Academy of Sciences; Kent State University",Ultrafast relaxation of acoustic and optical phonons in a topological nodal-line semimetal ZrSiS,"Recently, nodalline semimetals based on ZrSiS-family have garnered massive research interests contributing numerous experimental and theoretical works. Despite being the most studied nodal-line semimetal, a clear understanding of the transient state relaxation dynamics and the underlying mechanism in ZrSiS is lacking. Using time- and angle-resolved photoemission spectroscopy, we study the ultrafast relaxation dynamics in ZrSiS and reveal a unique relaxation in the bulk nodalline state which is well-captured by a simple model based on optical and acoustic phonon cooling. Our model predicts linear decay processes for both optical and acoustic phonon relaxations with optical cooling dominant at higher temperatures. Our results reveal different decay mechanisms for the bulk and surface states and pave a way to understand the mechanism of conduction in this material."
07/15/22,Condensed Matter Physics and Material Science,07/15/22,8:30 PM,07/15/22,8:45 PM,,Amba Datt Pant,"Institute of Materials Structure Science, High Energy Accelerator Research Organization (KEK),1-1 Oho, Tsukuba, Ibaraki 305-0801, and Muon Section, Materials and Life Science Division, J-PARC center, 2-4 Shirane Shirakata, Tokai-mura, Naka-gun, Ibaraki 319-1195, Japan",Remote,,,New insight into muSR in water,"Over the past four decades, muon spin rotation and relaxation (muSR) technique in water and ice has been reported by several groups. Most of the previous studies were focused on muonium (Mu = u+e-) chemistry (detection, its relaxation, reaction and frequencies) in water and ice. The behavior of muon in ice and water is not clearly understood yet. 
Since the water is indispensable component in materials and life sciences, the detailed study of muon and Mu in ice and water is necessary to understand/apply the muon technique to wide variety of sciences like life sciences, medical/clinical fields, etc. In order to apply the muon method for detection of oxygen in hypoxia in tumor, electron transfer in protein, function of DNA, photosynthesis, etc., we have started the systematic experimental and theoretical study in water and constituents of protein towards whole targeted system. In the program, brief review and recent achievements (experimental results and theoretical interpretation using DFT calculations and Quantum simulation) in muSR studies in water and ice will be presented.
"
07/15/22,Applied and Engineering Physics,07/15/22,9:00 PM,07/15/22,9:30 PM,1,Sumit Paudyal,Florida International University,Remote,,,Smart Power Distribution Grids: Modeling and Optimal Control,
07/15/22,Applied and Engineering Physics,07/15/22,9:30 PM,07/15/22,9:45 PM,,Jagannath Devkota,"National Energy Technology Laboratory, Pittsburgh, PA 15236",Remote,Ward Burgess,"National Energy Technology Laboratory, Pittsburgh, PA 15236",Bottom-up synthesis and characterization of soft magnetic composites for power conversion application,"Emerging soft magnetic materials (SMMs) will play an increasingly important role in designing
lightweight, small, and more efficient components in electrification of vehicles and grid modernization.
However, state-of-the-art SMMs possess high power losses at elevated switching frequencies. These
losses make them unsuitable for new applications which would utilize wide band gap semiconductors at
switching frequencies in the kHz to MHz range. In addition, existing synthesis techniques of soft
magnetic composites are expensive and are not flexible to engineer the materials chemistry. Here, we
review the state-of-the-art soft magnetic composites for power conversion applications and their
synthesis methods. Next, we report on a bottom-up synthesis method for SMMs that does not require
an expensive grinding step. Also reported is the characterization of select soft magnetic composites
which have potential for high-frequency power conversion application. Specifically, we present our
latest progress on synthesis of select soft magnetic composites at scale, their compaction into cores, and
core loss investigation. The proposed synthesis method is low cost and facilitates the engineering of
materials composition for targeted application."
07/15/22,Applied and Engineering Physics,07/15/22,9:45 PM,07/15/22,10:00 PM,,Bivek Pokhrel,University of Delaware,Remote,"Chitraleema Chakraborty (University of Delaware); John Xiao (University of Delaware); Matthew Whalen (University of Delaware),;Mark Ku (University of Delaware); Eric Herrmann (University of Delaware)",,Room temperature Magnetic sensing using 2D Magnet semicondcutor,"In this work, we utilize the internal valley degree of freedom in two-dimensional (2D) transition metal dichalcogenides (TMDC) to study the magnetic properties of van der Waals (vdW) ferromagnet. Semiconductor spintronics devices that rely on manipulating electronic spin for spin-based information processing and storage applications have seen significant progress over the past several decades. However, the advent of optically active 2D materials has enabled optically addressable electronic valley pseudospin degrees of freedom which have led to the concept of valleytronic devices with a wide range of applications in transport phenomenon, electrical, magnetic, and spin control. Specifically, valley manipulation has been demonstrated via a strong external magnetic field which is an essential component for creating valley-based logic gates. The recent rise of 2D vdW ferromagnets not only unlocks new methods to control such spin-valley degrees of freedom at room temperature but enables magnetic sensing via van der Waals heterostructure engineering. For example, the proximity effect can be harnessed for all-optical readout of the magnetic properties such as magnetic hysteresis, local magnetic field, domain dynamics, and the interlayer magnetic dipole, as the electronic valley transition follows the optical selection rule. Such heterostructure assembly also makes on-chip manipulation of spins and g-factor possible without the need for huge superconducting coils to generate an external magnetic field. In our work, we have assembled heterostructure of Fe3GeTe2(FGT) and mono/bi-layer MoS2 (TMDC) and study the valley Zeeman splitting and valley polarization via photoluminescence spectroscopy of MoS2/FGT heterostructure as a function of temperature. Such assembly will lead to all-optical room temperature sensing of van der Waals magnet via 2D valley degree of freedom and spin-valley polarization of 2D excitons via magnetic proximity effect of a van der Waals magnet."
07/15/22,Condensed Matter Physics and Material Science,07/15/22,10:15 PM,07/15/22,10:45 PM,1,Bhawani Datt Joshi,"Department of Physics, Siddhanath Science Campus, Mahendranagar, TU, Nepal",Remote,,,Biologically Active Natural Products: Characterization and Quantum Mechanical Calculations,"Natural products are the compounds extracted from living things: plants, animals, and marine organisms [1]. Due to their structural and electronic activities, they play a vital role in the treatments of several diseases in humans as well as in animals even in life-threatening conditions. Vibrational spectroscopy in addition to quantum chemical methods are been used since a decade back for molecular characterization [2,3]. Vibrational frequency analysis, inter/intra-molecular charge transfer, charge delocalization, molecular electrostatic potential, binding sites, protein-ligand interaction, protein-protein interaction are some properties for understanding the structure-electronic behavior of the molecular system. We have investigated structural, electronic, vibrational, and nonlinear optical properties of aristolochic acid, oncocalyxone A, canadine, ricobendazole, cephalexin, etc molecules by density functional theory (DFT) using Gaussian 09 program at 6-311++g(d,p) level. Canadine, an active component of Goldenseal, gives 132 modes of vibration. The electronic absorption in EtOH solvent phase was recorded at 294 and 386nm. Oncocalyxone A, an antiplatelet and known for the treatment of cuts and wounds, gives 114 modes of vibration. The electronic absorption in the methanol environment was recorded at 495 and 280nm. Chemical calculations on ricobendzole and cephalexin supported their good inhibitor property for the predicted target proteins [4].
Reference	
[1]	D.J Faulkner, Marine natural products, Nat. Prod. Repts., 2000 17(1) 1.
[2]	B.D. Joshi, R. Mishra, P. Tandon, A.C. Oliveira, A.P. Ayala, J. Mol. Struct. 1058 (2014) 31
[3]	J. de Castro Fonseca, Y.S. de Oliveira, et al., Spectrochim. Acta Part A: Mol. Biomol. Spectrosc. 165 (2016) 26.
[4]	M.K. Chaudhary, P. Prajapati , K. Srivastava, K. F. Silva, B.D. Joshi, P. Tandon, A.P. Ayala, J. Mol. Struct. 1230 (2021) 129889.
"
07/15/22,Condensed Matter Physics and Material Science,07/15/22,10:45 PM,07/15/22,11:00 PM,,Sujan Shrestha,"Department of Physics and Astronomy, University of Kentucky",Remote,Maximilian Krautloher; Menglin Zhu; Jiwoong Kim; Jinwoo Hwang; Jungho Kim; Jong Woo Kim; Bernhard Keimer; Ambrose Seo,"Max-Planck-Institut für Festkörperforschung; Department of Materials Science and Engineering, The Ohio State University; Department of Physics and Astronomy, University of Kentucky; Department of Materials Science and Engineering, The Ohio State University; Advanced Photon Source, Argonne National Laboratory; Advanced Photon Source, Argonne National Laboratory; Max-Planck-Institut für Festkörperforschung; Department of Physics and Astronomy, University of Kentucky",Emergent La2CuO4-like interlayer antiferromagnetic magnetic order induced via orthorhombic-distortion in Sr2IrO4,We report a distinct La2CuO4-like interlayer antiferromagnetic stacking order in Sr2IrO4 thin films by introducing large orthorhombic distortion (> 1.5%) via anisotropic biaxial lattice strain in Sr2IrO4/Ca3Ru2O7 heterostructures. The orthorhombic distortion stabilizes the Jeff = ½ pseudospin moment direction along the longer lattice direction via magnetic anisotropy while it lead to non-zero interlayer exchange interaction energy. Resonant X-ray magnetic scattering confirms that the magnetic moment is parallel to the elongated b-axis whereas its stacking pattern is inverted from that of the tetragonal Sr2IrO4 crystal. This combination corresponds to the La2CuO4-type interlayer antiferromagnetic order which can be explained by the competition between interlayer interaction energies such that the net asymmetric interlayer exchange interaction energy between a and b-axes exceed the interlayer pseudo-dipolar interaction energy. Our result suggests that anisotropic strain-induced orthorhombic distortion provides a delicate knob for tuning the long-range magnetic order and enhancing the magnetic quantum fluctuations in quasi-two-dimensional systems.
07/15/22,Condensed Matter Physics and Material Science,07/15/22,11:00 PM,07/15/22,11:15 PM,,Jhulan Powrel,Tribhuvan University,Remote,Rajendra Prasad Koirala,Central Department of Physics; Central Department of Physics,"Binding Free Energy of Sickle and Normal Hemoglobin Dimer Protein: Umbrella Sampling Molecular Dynamics"".","This study focuses on investigation of the binding mechanism of different chains of hemoglobin under the mutated condition which can give the understanding on the molecular distortion. In this work, we have studied the binding mechanism between two chains of R-state conformation of carbonmonoxyl sickle hemoglobin and is compared with that of normal hemoglobin by using molecular dynamics simulations. The binding strength has been analyzed by estimating hydrogen bonding, salt bridges, hydrophobic interactions and non-bonded interactions (electrostatics and van der Waals). The comparative outcomes in two structures show that the binding strength of ?? and ?? chains in normal hemoglobin is higher than that of sickle hemoglobin due to vdW and electrostatic interaction in between chain ?? and chains ?? in the dimer showing the favorable binding in normal hemoglobin
than sickle. Structural stability is controlled by hydrophobic interactions of both protein. The sickling is occurring due to higher hydrophobic interaction of sickle than of normal hemoglobin. Binding strength of the molecule have also been investigated by estimating binding free energy, utilizing umbrella sampling technique. The binding free energy difference in sickle and normal hemoglobin dimer is found to be ? 0.67 kcal/mol. The results given by the aforementioned interactions are also supported by binding free energy calculation."
07/15/22,Condensed Matter Physics and Material Science,07/15/22,11:15 PM,07/15/22,11:30 PM,,Yogesh Singh Maharjan,"Amrit Campus, Tribhuvan University ",Remote,Dinesh Kumar Chaudhari; Leela Pradhan Joshi,Central Department of Physics; Amrit Campus,EFFECT OF THICKNESS ON ZnO THIN FILM PREPARED BY DIP COATING TECHNIQUE FOR ETHONAL SENSING,0.5M Zinc Oxide (ZnO) nano-particle thin films were deposited on cleaned glass substrates by dip coating technique with 350 mm/min dipping speed. These films were optically characterized using UV-Vis spectrophotometer. The band gap of film was found to be 3.11 eV having thickness 903.176 nm. Thickness was measured using a Swanepoel method. The refractive index of ZnO was also measured and its value was found to be 2.091 -1.532 in the wavelength of 350-800 nm. The prepared ZnO thin film was used to detect ethanol vapor in the temperature range 180 to 300 ºC. The highest response of 3.4 was found at the operating temperature of 240 ºC for 500 ppm of ethanol vapor. Corresponding response and recovery times were found as 9.82 and 16.33 sec respectively.  
07/15/22,Condensed Matter Physics and Material Science,07/15/22,11:30 PM,07/15/22,11:45 PM,,Sabin Regmi,"Department of Physics, University of Central Florida, Florida 32816, USA",Remote,Gyanendra Dhakal; Fairoja Cheenicode Kabeer; Neil Harrison; Firoza Kabir; Anup Pradhan Sakhya; Krzysztof Gofryk; Dariusz Kaczorowski;  Peter M. Oppeneer; Madhab Neupane,"University of Central Florida; Uppsala University; 3National High Magnetic Field Laboratory, Los Alamos;  University of Central Florida; University of Central Florida; Idaho National Laboratory; Polish Academy of Sciences; Uppsala University; University of Central Florida",Observation of multiple nodal-lines in SmSbTe,"The ZrSiS-type  LnSbTe (Ln = lanthanide elements) materials have been attracting research studies due to possible magnetism and correlation effects carried by 4f electrons of the lanthanide elements, therefore providing important platform  to study the interplay among topology, magnetism, and correlation. Here, we report the electronic structure of SmSbTe measured by using angle-resolved photoemission spectroscopy along with parallel first-principles calculations, transport, and magnetic measurements. Our results identify multiple Dirac nodes along the ? – X and Z – R directions that correspond to the nodal-lines predicted by our theoretical calculations. A surface Dirac-like state is also observed at the X point of the surface Brillouin zone. Our study highlights SmSbTe as a promising candidate to understand the topological electronic structure of LnSbTe materials.

This project is supported by the National Science Foundation (NSF) CAREER award DMR-1847962, the Air Force Office of Scientific Research under award number FA9550-17-1-0415, the Air Force Office of Scientific Research MURI Grant No. FA9550-20-1-0322, and the Center for Thermal Energy Transport under Irradiation, an Energy Frontier Research Center funded by the U.S. DOE, Office of Basic Energy Sciences."
07/15/22,Condensed Matter Physics and Material Science,07/15/22,11:45 PM,07/16/22,12:00 AM,,Tibendra Adhikari,"Central Department of Physics, Kirtipur, Kathmandu, Nepal",Remote,Nurapati Pantha,"Central Department of Physics, Kirtipur, Kathmandu, Nepal",First-principles study  of defected silicene for the adsorption of  methane gas molecule,"
First-principles study  of defected silicene for the adsorption of  methane gas molecule

Tibendra Adhikari and Nurapati Pantha
Central Department of Physics, Tribhuvan University, Kirtipur, Kathmandu, Nepal

Considering the significance of natural gas, such as methane, and the difficulties in storing it, research is increasingly focusing on developing materials for solid-state methane storage. Two-dimensional materials have a large number of possible adsorption sites for gas molecules due to their high surface-to-volume ratio.  However, the two-dimensional structure is chemically inactive and attracts nonpolar gases rather weakly [1]. We investigated the methane gas adsorption capabilities of silicene by activating it with different defects [2,3]. According to our density functional theory calculations, the mono-vacancy (MV) defect is advantageous in increasing the binding strength of energy-carrying gases such as methane. In MV defected silicene, methane adsorption energy is detected in the order of the internationally specified energy regime [4].

Acknowledgement
The authors acknowledge the TWAS research grants RG 20- 316 for providing computational help.

References
    1. R. B. Bird, W. E. Stewart, and E. N. Lightfoot, Transport phenomena, Vol. 1 (John Wiley & Sons, 2006).
    2.  S. M. Aghaei, M. M. Monshi, and I. Calizo, RSC Adv. 6, 94417 (2016).
    3. N. Pantha, K. Ulman, and S. Narasimhan, J. Chem. Phys. 153, 244701 (2020).
    4. S. K. Bhatia and A. L. Myers, Langmuir 22, 1688 (2006).
"
07/15/22,Condensed Matter Physics and Material Science,07/15/22,12:00 AM,07/16/22,12:15 AM,,Ram Babu Ray,"Central Department of Physics, Kirtipur, Kathmandu, Nepal",Remote,Gopi Chandra Kaphle,"Central Department of Physics, Kirtipur, Kathmandu, Nepal","Electronic Structures, Magnetic Properties and Strain Effects of Quaternary Heusler Alloy ZrRuTiIn","Electronic Structures, Magnetic Properties and Strain Effects of Quaternary Heusler Alloy
ZrRuTiIn
R. B. Ray 1 and G. C. Kaphle 2
1
Central Department of Physics, Tribhuvan University, Kirtipur,
Kathmandu, Nepal
2
Central Department of Physics, Tribhuvan University, Kirtipur,
Kathmandu, Nepal
*Email: ray-rb@ymail.com
Abstract
Electronic and magnetic properties of quaternary Heusler alloy ZrRuTiIn have been analyzed by using
density functional theory (DFT) based Wien2k approach. The optimized structure of ZrRuTiIn is
obtained through the energy minimization process. The ferromagnetic ground state and
thermodynamical stability of compound is supported by relative total energy and by derived cohesive
energy respectively. From the study, the quaternary Heusler alloy ZrRuTiIn shows half-metallic
ferromagnetic and spin-polarized density of states (DOS). The spin dependent band gap, that is, Half-
metallic gap of ZrRuTiIn is 0.61 eV. We have obtained unsymmetrical nature of DOS in up and down
spin channels. The total spin magnetic moment of ZrRuTiIn is 1.00 ? B , which is integral value
supporting HMF nature of ZrRuTiIn. Detailed study of strain effects of quaternary Heusler alloy
ZrRuTiIn will be comprehensibly presented.
Key words: Quaternary Heusler alloy, Density of states
References
1. F. Dahmane et al., Journal of Superconductivity and Novel Magnetism 28, 2063-2069 (2015).
2. L. Feng et al., Journal of Magnetism and Magnetic Material 351, 92-97 (2014).
3. S. M. Azar et al., Journal of Magnetism and Magnetic Material 10, 324 (2007).
4. Saadi Berri et al., Computational Condensed Matter 1, 26-31 (2014)."
